"resourceID","relatedResourceID","relationshipOfResource"
"6078b4de-fbe6-4018-9c7c-abdcdc808c42","SCBI_014.20140610.AMBAME.N","pathogen of"
"2218fdf0-5c7c-4524-b1f7-c5805eaf9140","SCBI_014.20140610.IXOSCA.N","pathogen of"
"fa8b4358-78ed-48b9-b40f-8a740721891b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"7a9fdfec-6abc-49c6-9522-face0a697e09","SCBI_014.20140610.AMBAME.N","pathogen of"
"4d63a951-f0ad-4212-8119-5c259a941a4e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"8b69fcc3-c986-470a-b7ec-544cc076747e","SCBI_014.20140610.AMBAME.N","pathogen of"
"97c723cc-d3ef-49ae-8bc2-62dfe13b6aa2","SCBI_014.20140610.IXOSCA.N","pathogen of"
"873eadac-63ba-4927-8f00-5d75759d150d","SCBI_014.20140610.IXOSCA.N","pathogen of"
"f7ae3a07-cfec-4713-bdc3-326bc340e585","SCBI_014.20140610.AMBAME.N","pathogen of"
"2cbfd163-2af6-48aa-afba-57689f91d2b3","SCBI_014.20140610.AMBAME.N","pathogen of"
"8867800d-fe04-4e5f-87d2-dafe9c846971","SCBI_014.20140610.IXOSCA.N","pathogen of"
"3df7a190-f229-4f0a-99a2-42351f04f6a8","SCBI_014.20140610.AMBAME.N","pathogen of"
"ad524506-1e1b-4f23-b9e5-ae4a81f39c34","SCBI_014.20140610.AMBAME.N","pathogen of"
"ca6990b6-8495-406f-8603-cb0b574a2006","SCBI_014.20140610.AMBAME.N","pathogen of"
"e0434323-c8ea-4258-9ec8-21162a4a173a","SCBI_014.20140610.AMBAME.N","pathogen of"
"21ec2773-7471-4954-aadf-caccae543c6b","SCBI_014.20140610.AMBAME.N","pathogen of"
"105e5c33-d712-4109-b210-7c701dba4c69","SCBI_014.20140610.IXOSCA.N","pathogen of"
"ee94d3f2-5ec5-4fc7-869e-cd56b79b54da","SCBI_014.20140610.IXOSCA.N","pathogen of"
"a846a6c6-ba5f-4112-94c0-34e4a8cd60a1","SCBI_014.20140610.AMBAME.N","pathogen of"
"68a35c0d-269a-4ae3-8c50-dd8f0a097947","SCBI_014.20140610.IXOSCA.N","pathogen of"
"45f688a2-1c63-4994-9da8-5130594dba4d","SCBI_014.20140610.IXOSCA.N","pathogen of"
"fa6c6087-fd33-4279-a4ab-43794a298f9b","SCBI_014.20140610.AMBAME.N","pathogen of"
"6f1fe151-e558-43be-89b0-4dcf00166eca","SCBI_014.20140610.IXOSCA.N","pathogen of"
"5ee91a3a-9c98-4c73-832a-41629623e504","SCBI_014.20140610.IXOSCA.N","pathogen of"
"fee681ad-12c9-45d2-a2fe-c636863da963","SCBI_014.20140610.AMBAME.N","pathogen of"
"3f8dd577-6350-436b-b506-ac8f492fc4ba","SCBI_014.20140610.IXOSCA.N","pathogen of"
"de505641-1a31-4596-9aa3-6deaac69263d","SCBI_014.20140610.AMBAME.N","pathogen of"
"b807f80d-b3c3-4382-b51b-8418b85cf532","SCBI_014.20140610.AMBAME.N","pathogen of"
"4ee72cfa-70c0-4232-b950-00d0a2b118e6","SCBI_014.20140610.IXOSCA.N","pathogen of"
"df6fd60b-c009-433d-8311-cc281557fc92","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b04c985a-9309-4e61-86ba-4eb5db4a4614","SCBI_014.20140610.IXOSCA.N","pathogen of"
"a626e6d7-c6d3-40b6-a8dd-4c9e1c9ed7b2","SCBI_014.20140610.IXOSCA.N","pathogen of"
"84b0c7e9-9e8a-4fca-b2eb-95210b5b577a","SCBI_014.20140610.IXOSCA.N","pathogen of"
"918f22fe-3f76-46d3-a919-bb379d627e9b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"1b8e4249-797e-418f-b5e0-5a7e10850530","SCBI_014.20140610.IXOSCA.N","pathogen of"
"40fd1054-f977-40a9-9387-e7b7ff73b446","SCBI_014.20140610.AMBAME.N","pathogen of"
"a8203d1a-24da-4906-ad20-74b93ccb4e18","SCBI_014.20140610.AMBAME.N","pathogen of"
"eede9c46-79c1-4936-9c31-ee54f9bcb4d0","SCBI_014.20140610.AMBAME.N","pathogen of"
